ni-string,Ave,Var,Robot,Reward
0.0-0.0,0.0,0.0,0,856
0.0-0.0,0.0,0.0,1,838
0.0-0.0,0.0,0.0,2,1153
0.0-0.0,0.0,0.0,3,833
0.1-0.2,0.125,0.1875,0,2221
0.1-0.2,0.125,0.1875,1,2224
0.1-0.2,0.125,0.1875,2,2212
0.1-0.2,0.125,0.1875,3,2778
0.2-0.8,0.25,0.75,0,2218
0.2-0.8,0.25,0.75,1,2222
0.2-0.8,0.25,0.75,2,2210
0.2-0.8,0.25,0.75,3,3800
0.2-0.2,0.25,0.25,0,2221
0.2-0.2,0.25,0.25,1,2224
0.2-0.2,0.25,0.25,2,2771
0.2-0.2,0.25,0.25,3,2768
0.4-0.7,0.375,0.6875,0,2218
0.4-0.7,0.375,0.6875,1,2222
0.4-0.7,0.375,0.6875,2,2750
0.4-0.7,0.375,0.6875,3,3800
0.5-1.0,0.5,1.0,0,2218
0.5-1.0,0.5,1.0,1,2222
0.5-1.0,0.5,1.0,2,3799
0.5-1.0,0.5,1.0,3,3800
0.4-0.2,0.375,0.1875,0,2221
0.4-0.2,0.375,0.1875,1,2798
0.4-0.2,0.375,0.1875,2,2766
0.4-0.2,0.375,0.1875,3,2774
0.5-0.5,0.5,0.5,0,2218
0.5-0.5,0.5,0.5,1,2778
0.5-0.5,0.5,0.5,2,2771
0.5-0.5,0.5,0.5,3,3803
0.6-0.7,0.625,0.6875,0,2218
0.6-0.7,0.625,0.6875,1,2774
0.6-0.7,0.625,0.6875,2,3797
0.6-0.7,0.625,0.6875,3,3803
0.8-0.8,0.75,0.75,0,856
0.8-0.8,0.75,0.75,1,838
0.8-0.8,0.75,0.75,2,1153
0.8-0.8,0.75,0.75,3,833
0.5-0.0,0.5,0.0,0,995
0.5-0.0,0.5,0.0,1,1091
0.5-0.0,0.5,0.0,2,1014
0.5-0.0,0.5,0.0,3,1853
0.6-0.2,0.625,0.1875,0,2787
0.6-0.2,0.625,0.1875,1,2731
0.6-0.2,0.625,0.1875,2,2778
0.6-0.2,0.625,0.1875,3,3803
0.8-0.2,0.75,0.25,0,2789
0.8-0.2,0.75,0.25,1,2785
0.8-0.2,0.75,0.25,2,3797
0.8-0.2,0.75,0.25,3,3803
0.9-0.2,0.875,0.1875,0,856
0.9-0.2,0.875,0.1875,1,838
0.9-0.2,0.875,0.1875,2,1153
0.9-0.2,0.875,0.1875,3,833
1.0-0.0,1.0,0.0,0,856
1.0-0.0,1.0,0.0,1,838
1.0-0.0,1.0,0.0,2,1153
1.0-0.0,1.0,0.0,3,833
